"A1","M1","RELEASE"
"Priority","GUI","v4"
"Priority","Edit","v4"
"Priority","Create","v4"
"Priority","GUI","v4"
"Priority","GUI","v4"
"Priority","GUI","v4"
"Priority","Create","v4"
"Priority","Manage Reminder","v4"
"Priority","Manage Reminder","v4"
"Priority","Manage Reminder","v4"
"Priority","Manage Reminder","v4"
"Google Calendar","GUI","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Edit","v4"
"Static Category","Create","v4"
"Static Category","Create","v4"
"Static Category","GUI","v4"
"Static Category","GUI","v4"
"Static Category","Create","v4"
"Static Category","GUI","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Static Category","Manage Reminder","v4"
"Search","Manage Reminder","v4"
"Search","GUI","v4"
"Search","Manage Reminder","v4"
"Manage Category","Manage Reminder","v4"
"Manage Category","Create","v4"
"Manage Category","Create","v4"
"Manage Category","GUI","v4"
"Manage Category","GUI","v4"
"Manage Category","Edit","v4"
"Manage Category","Manage Reminder","v4"
"Fixed Date","GUI","v4"
"Fixed Date","GUI","v4"
"Fixed Date","GUI","v4"
"Fixed Date","Manage Reminder","v4"
"Fixed Date","Edit","v4"
"Fixed Date","Create","v4"
"Fixed Date","GUI","v4"
"Fixed Date","GUI","v4"
"Fixed Date","GUI","v4"
"Fixed Date","Create","v4"
"Fixed Date","Manage Reminder","v4"
"Fixed Date","Manage Reminder","v4"
"Fixed Date","Manage Reminder","v4"
"Fixed Date","Manage Reminder","v4"
"Fixed Date","Create","v4"
"Fixed Date","GUI","v4"
"Fixed Date","GUI","v4"
"Fixed Date","GUI","v4"
"Fixed Date","Create","v4"
"Fixed Date","Edit","v4"
"Fixed Date","Manage Reminder","v4"
"Fixed Date","Manage Reminder","v4"
"Fixed Date","Manage Reminder","v4"
"Date Repeat","Create","v4"
"Date Repeat","GUI","v4"
"Date Repeat","GUI","v4"
"Date Repeat","Edit","v4"
"Date Repeat","Create","v4"
"Date Repeat","GUI","v4"
"Date Repeat","Manage Reminder","v4"
"Date Repeat","Manage Reminder","v4"
"Date Repeat","Manage Reminder","v4"
"Date Range","Create","v4"
"Date Range","GUI","v4"
"Date Range","GUI","v4"
"Date Range","GUI","v4"
"Date Range","Create","v4"
"Date Range","Edit","v4"
"Date Range","Manage Reminder","v4"
"Date Range","Manage Reminder","v4"
"Date Range","Manage Reminder","v4"
"Date Range","Manage Reminder","v4"
"Date Range","GUI","v3"
"Date Range","GUI","v3"
"Date Range","Manage Reminder","v3"
"Date Range","Create","v3"
"Date Range","GUI","v3"
"Date Range","GUI","v3"
"Date Range","GUI","v3"
"Date Range","Create","v3"
"Date Range","Edit","v3"
"Date Range","Manage Reminder","v3"
"Date Range","Manage Reminder","v3"
"Date Range","Manage Reminder","v3"
"Date Range","Manage Reminder","v3"
"Fixed Date","Create","v3"
"Fixed Date","GUI","v3"
"Fixed Date","GUI","v3"
"Fixed Date","GUI","v3"
"Fixed Date","Create","v3"
"Fixed Date","Edit","v3"
"Fixed Date","Manage Reminder","v3"
"Fixed Date","Manage Reminder","v3"
"Fixed Date","Manage Reminder","v3"
"Fixed Date","Manage Reminder","v3"
"Google Calendar","GUI","v3"
"Manage Category","Manage Reminder","v3"
"Manage Category","Create","v3"
"Manage Category","Create","v3"
"Manage Category","GUI","v3"
"Manage Category","GUI","v3"
"Manage Category","Edit","v3"
"Manage Category","Manage Reminder","v3"
"Priority","GUI","v3"
"Priority","Edit","v3"
"Priority","Create","v3"
"Priority","GUI","v3"
"Priority","GUI","v3"
"Priority","GUI","v3"
"Priority","Create","v3"
"Priority","Manage Reminder","v3"
"Priority","Manage Reminder","v3"
"Priority","Manage Reminder","v3"
"Priority","Manage Reminder","v3"
"Search","Manage Reminder","v3"
"Search","GUI","v3"
"Search","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Edit","v3"
"Static Category","Create","v3"
"Static Category","Create","v3"
"Static Category","GUI","v3"
"Static Category","GUI","v3"
"Static Category","Create","v3"
"Static Category","GUI","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Manage Reminder","v3"
"Static Category","Edit","v2"
"Static Category","Create","v2"
"Static Category","Create","v2"
"Static Category","GUI","v2"
"Static Category","GUI","v2"
"Static Category","Create","v2"
"Static Category","GUI","v2"
"Static Category","Manage Reminder","v2"
"Static Category","Manage Reminder","v2"
"Static Category","Manage Reminder","v2"
"Static Category","Manage Reminder","v2"
"Static Category","Manage Reminder","v2"
"Static Category","Manage Reminder","v2"
"Static Category","Manage Reminder","v2"
"Static Category","Manage Reminder","v2"
"Static Category","Manage Reminder","v2"
"Manage Category","Manage Reminder","v2"
"Manage Category","Create","v2"
"Manage Category","Create","v2"
"Manage Category","GUI","v2"
"Manage Category","GUI","v2"
"Manage Category","Edit","v2"
"Manage Category","Manage Reminder","v2"
